timestamp,rssi,sc0_re,sc0_im,sc1_re,sc1_im,sc2_re,sc2_im,sc3_re,sc3_im,sc4_re,sc4_im,sc5_re,sc5_im,sc6_re,sc6_im,sc7_re,sc7_im,sc8_re,sc8_im,sc9_re,sc9_im,sc10_re,sc10_im,sc11_re,sc11_im,sc12_re,sc12_im,sc13_re,sc13_im,sc14_re,sc14_im,sc15_re,sc15_im,sc16_re,sc16_im,sc17_re,sc17_im,sc18_re,sc18_im,sc19_re,sc19_im,sc20_re,sc20_im,sc21_re,sc21_im,sc22_re,sc22_im,sc23_re,sc23_im,sc24_re,sc24_im,sc25_re,sc25_im,sc26_re,sc26_im,sc27_re,sc27_im,sc28_re,sc28_im,sc29_re,sc29_im,sc30_re,sc30_im,sc31_re,sc31_im,sc32_re,sc32_im,sc33_re,sc33_im,sc34_re,sc34_im,sc35_re,sc35_im,sc36_re,sc36_im,sc37_re,sc37_im,sc38_re,sc38_im,sc39_re,sc39_im,sc40_re,sc40_im,sc41_re,sc41_im,sc42_re,sc42_im,sc43_re,sc43_im,sc44_re,sc44_im,sc45_re,sc45_im,sc46_re,sc46_im,sc47_re,sc47_im,sc48_re,sc48_im,sc49_re,sc49_im,sc50_re,sc50_im,sc51_re,sc51_im,sc52_re,sc52_im,sc53_re,sc53_im,sc54_re,sc54_im,sc55_re,sc55_im,sc56_re,sc56_im,sc57_re,sc57_im,sc58_re,sc58_im,sc59_re,sc59_im,sc60_re,sc60_im,sc61_re,sc61_im,sc62_re,sc62_im,sc63_re,sc63_im
1,-40,13.385756,0.2677508,13.8660965,0.95949936,14.190382,1.6847954,14.359913,2.4245222,14.381782,3.160965,14.268193,3.8788333,14.035517,4.566081,13.703153,5.214487,13.292278,5.819944,12.824535,6.38246,12.32076,6.9058666,11.799827,7.397259,11.27764,7.866195,10.7663965,8.323744,10.274089,8.781389,9.804319,9.249926,9.356429,9.738376,8.925878,10.253009,8.50493,10.796555,8.083509,11.367633,7.650234,11.96046,7.193506,12.56485,6.702624,13.166522,6.1688266,13.747699,5.586187,14.287962,4.952325,14.765317,4.268859,15.15741,3.5415847,15.442831,2.7803593,15.602412,1.9986929,15.620438,1.213066,15.485733,0.44203475,15.192501,-0.29485783,14.740908,-0.97826934,14.137339,-1.5902833,13.394336,-2.115593,12.530186,-2.5425677,11.568193,-2.864138,10.535662,-3.0784278,9.462671,-3.189106,8.380653,-3.2054157,7.3209076,-3.1418824,6.313112,-3.0176983,5.383876,-2.8558328,4.555516,-2.6818871,3.844978,-2.5227885,3.2631161,-2.4053586,2.814232,-2.3548727,2.4960115,-2.393666,2.2997847,-2.5398757,2.211118,-2.806388,2.210717,-3.200065,2.2755613,-3.7212627,2.3802202,-4.363724,2.4982774,-5.114797,2.6037672,-5.955991,2.672554,-6.8638783,2.68358,-7.811204,2.6198974,-8.76825,2.4694476,-9.704284,2.2255332,-10.589056,1.886977,-11.394283,1.4579389,-12.09498,0.9474527,-12.670625,0.3686572
2,-40,13.761838,0.55076736,14.205732,1.2689103,14.490386,2.0150461,14.618366,2.7699206,14.597975,3.515938,14.442496,4.238152,14.169217,4.925048,13.798248,5.569065,13.351257,6.166837,12.850145,6.7191305,12.315796,7.2304993,11.76692,7.708664,11.219119,8.163689,10.684158,8.606978,10.169544,9.0501795,9.678387,9.504064,9.20957,9.977461,8.758201,10.476301,8.316321,11.002865,7.8737965,11.555258,7.419363,12.127165,6.9417267,12.707917,6.4306636,13.282839,5.8780346,13.833903,5.278644,14.340623,4.630904,14.781147,3.9372346,15.1335,3.2041812,15.376872,2.4422414,15.4929085,1.6654063,15.466907,0.8904299,15.288839,0.13589811,14.954153,-0.57888037,14.464287,-1.2350689,13.826867,-1.8155193,13.055566,-2.3059304,12.169636,-2.6958766,11.193129,-2.9796364,10.15381,-3.1567664,9.0819235,-3.2323797,8.008738,-3.2171068,6.965064,-3.1267264,5.9797764,-2.9814937,5.0784135,-2.805182,4.2819815,-2.623901,3.6059492,-2.464756,3.059592,-2.3544092,2.6456134,-2.3176389,2.3601487,-2.3759677,2.1931074,-2.5464468,2.1288326,-2.8406541,2.1470582,-3.2639835,2.2240903,-3.8152423,2.3341534,-4.4866114,2.4508214,-5.263948,2.548452,-6.1274114,2.603541,-7.0524297,2.5959296,-8.010859,2.5097857,-8.972387,2.3343182,-9.906011,2.0641809,-10.781525,1.699558,-11.571006,1.2459116,-12.250105,0.713452,-12.799181,0.11631239
3,-39,14.126502,0.84860873,14.531522,1.5915239,14.774439,2.35663,14.859106,3.1246006,14.7950325,3.8780227,14.5965805,4.602354,14.281936,5.286661,13.871894,5.9240904,13.388578,6.5120482,12.854118,7.0520835,12.289403,7.549481,11.712959,8.012601,11.140047,8.452002,10.581988,8.87942,10.045788,9.306654,9.534052,9.744439,9.045217,10.201403,8.57404,10.683128,8.112352,11.191449,7.6499724,11.723961,7.1757708,12.273836,6.6787724,12.829938,6.1492305,13.377229,5.579632,13.897464,4.965503,14.370126,4.3060265,14.773548,3.6043975,15.08616,2.8678665,15.287788,2.1075313,15.360924,1.3378011,15.291882,0.5756408,15.071791,-0.16039214,14.697327,-0.8512943,14.171184,-1.4787879,13.502177,-2.0265524,12.705069,-2.48133,11.800015,-2.8339317,10.811727,-3.0800002,9.768362,-3.220518,8.700244,-3.2620301,7.638391,-3.2165112,6.613052,-3.100949,5.652227,-2.936589,4.7803183,-2.7479346,4.0169787,-2.561518,3.3761737,-2.4045372,2.8655908,-2.3034031,2.4863396,-2.2823114,2.233035,-2.3618975,2.09421,-2.5580604,2.053042,-2.881016,2.088364,-3.33466,2.1758904,-3.9162285,2.2895827,-4.616346,2.4030929,-5.4193983,2.4911838,-6.30423,2.5310583,-7.2451744,2.5035214,-8.213261,2.393909,-9.177659,2.1927347,-10.107164,1.8960238,-10.971695,1.5053264,-11.74376,1.0273939,-12.399717,0.4735866,-12.9208555,-0.14100759
4,-39,14.47803,1.1607198,14.841848,1.9266087,15.041041,2.7086582,15.080764,3.4875364,14.971739,4.2460775,14.729392,4.9702034,14.372781,5.649614,13.923364,6.2782063,13.403685,6.85419,12.83606,7.379917,12.241349,7.86142,11.637865,8.307695,11.0405,8.729798,10.460107,9.139784,9.903173,9.549586,9.371804,9.969896,8.863979,10.409126,8.374121,10.872512,7.8938527,11.36143,7.412964,11.872979,6.9204736,12.399833,6.405728,12.930407,5.8594737,13.449327,5.2748127,13.938168,4.6479826,14.376415,3.9789224,14.742619,3.271563,15.0156555,2.5338306,15.176015,1.7773587,15.207049,1.0169303,15.0961075,0.26966023,14.835469,-0.44599673,14.423036,-1.11139,13.86271,-1.7088718,13.164477,-2.2229855,12.344116,-2.6415663,11.422623,-2.9566796,10.4253,-3.165342,9.380614,-3.2699635,8.318879,-3.278485,7.2707925,-3.2041962,6.265953,-3.06523,5.3314257,-2.883757,4.490419,-2.6849308,3.7611954,-2.4956217,3.1561902,-2.343027,2.681498,-2.2532222,2.3366518,-2.2497358,2.1147742,-2.3522418,2.0030715,-2.575423,1.9836173,-2.9280899,2.034419,-3.4126053,2.1306798,-4.024626,2.246185,-4.7532234,2.3547497,-5.581337,2.4316235,-6.4865375,2.4547904,-7.442118,2.4060817,-8.418348,2.27205,-9.38395,2.044547,-10.307593,1.7209858,-11.159401,1.3042828,-11.912385,0.8024624,-12.543672,0.22800383,-13.035545,-0.40309262
5,-38,14.814745,1.4864327,15.135146,2.2733274,15.288763,3.0701444,15.282062,3.8576143,15.126973,4.618885,14.839972,5.3404007,14.44097,6.0125494,13.952046,6.6300154,13.39613,7.1918473,12.79569,7.7012215,12.17152,8.164924,11.541678,8.592591,10.920665,8.995767,10.31884,9.386815,9.742164,9.777793,9.192225,10.179336,8.66656,10.5996275,8.159248,11.043546,7.6617284,11.512019,7.163766,12.001646,6.65454,12.504617,6.12373,13.008924,5.5625753,13.498884,4.9647913,13.955915,4.327316,14.359549,3.650819,14.688584,2.939939,14.922371,2.2032301,15.042089,1.4528208,15.031977,0.7038048,14.880421,-0.02661383,14.580849,-0.72013843,14.132361,-1.3585378,13.540054,-1.9248414,12.815021,-2.404509,11.974013,-2.7864969,11.038791,-3.0641503,10.035174,-3.2358646,8.9918585,-3.30546,7.9390683,-3.282252,6.9070916,-3.180797,5.9248157,-3.0203142,5.0182967,-2.8238282,4.209504,-2.617061,3.5152707,-2.4271317,2.9464846,-2.2811525,2.5076504,-2.204771,2.196738,-2.2207713,2.0054188,-2.3477912,1.9196221,-2.599242,1.9203854,-2.9824827,1.9849668,-3.4983194,2.088142,-4.1408205,2.2036068,-4.897519,2.3054252,-5.749934,2.3694143,-6.674409,2.3744092,-7.6432524,2.3033288,-8.626045,2.1439872,-9.591132,1.8896041,-10.507144,1.5389926,-11.344475,1.0964308,-12.076718,0.5711965,-12.681837,-0.023146681,-13.143156,-0.6697324
6,-38,15.135024,1.8249712,15.409921,2.6307428,15.5162525,3.4400108,15.461803,4.2336397,15.259709,4.995158,14.927471,5.711592,14.485826,6.3740644,13.957439,6.9780936,13.36559,7.5235944,12.732856,8.014581,12.079922,8.458607,11.4245615,8.86595,10.780846,9.248627,10.158628,9.619307,9.563327,9.990155,8.996004,10.371727,8.453751,10.771976,7.930317,11.195414,7.416959,11.642514,6.9034333,12.109387,6.379089,12.587751,5.8339486,13.065194,5.259742,13.525752,4.6507964,13.950718,4.004733,14.319694,3.3229315,14.611766,2.6107047,14.806791,1.8771912,14.886656,1.1349648,14.8365,0.39937386,14.645751,-0.3123465,14.30898,-0.9821181,13.8264675,-1.592186,13.204462,-2.1263075,12.455121,-2.5709012,11.5961075,-2.9160743,10.6498785,-3.156468,9.642694,-3.2918568,8.603397,-3.3274553,7.56204,-3.2739213,6.5484295,-3.1470246,5.5906563,-2.9670124,4.7137275,-2.757688,3.9383144,-2.54526,3.279792,-2.3570073,2.7474906,-2.219865,2.3443258,-2.1589715,2.0667295,-2.1962843,1.9049646,-2.349337,1.8437392,-2.6302154,1.8631238,-3.0447881,1.9397063,-3.5922832,2.0479212,-4.2651787,2.161463,-5.049485,2.254726,-5.9253354,2.3041766,-6.8678913,2.2895718,-7.848543,2.1949716,-8.836251,2.0094926,-9.799061,1.7277533,-10.705639,1.3499703,-11.526738,0.8817736,-12.236594,0.33367527,-12.814071,-0.2797136,-13.243589,-0.94071585
7,-37,15.437303,2.175454,15.66475,2.9978204,15.722241,3.8170934,15.618894,4.614345,15.369021,5.373547,14.991147,6.0823703,14.506789,6.7327223,13.939167,7.3209915,13.31186,7.8479867,12.647516,8.3185835,11.966672,8.741104,11.286779,9.126459,10.621457,9.487145,9.980019,9.836108,9.367325,10.185608,8.783914,10.546115,8.226427,10.925328,7.688289,11.327389,7.1605854,11.752317,6.6330757,12.19574,6.095285,12.648911,5.5375867,13.099041,4.952202,13.529902,4.334064,13.922701,3.6814628,14.257135,2.9964612,14.51261,2.2850115,14.66951,1.5567982,14.710461,0.824787,14.621501,0.104527295,14.393112,-0.5867733,14.020992,-1.2313125,13.506577,-1.8118658,12.857231,-2.3129668,12.086127,-2.7220297,11.211776,-3.03034,10.25726,-3.233845,9.249206,-3.3336937,8.2165165,-3.3364775,7.1890025,-3.2541535,6.195907,-3.1036594,5.264467,-2.9062004,4.4185658,-2.6862803,3.677547,-2.4705083,3.0553005,-2.2862387,2.5595868,-2.1601415,2.1917455,-2.1167574,1.9467027,-2.177143,1.8133531,-2.3576648,1.7752466,-2.6690273,1.81156,-3.115578,1.8982941,-3.6949506,2.0096254,-4.3980365,2.1193345,-5.20934,2.202235,-6.1076508,2.235515,-7.0670013,2.1999195,-8.057926,2.080707,-9.048838,1.8683382,-10.007565,1.5588384,-10.902887,1.1538435,-11.70599,0.6603249,-12.391829,0.08998985,-12.940225,-0.5415456,-13.336746,-1.2158339
8,-37,15.720092,2.5369003,15.898293,3.373436,15.905562,4.200152,15.752334,4.9983954,15.454107,5.752651,15.030376,6.4512906,14.503422,7.087059,13.896967,7.657249,13.234857,8.163591,12.539755,8.6118355,11.832015,9.011076,11.128726,9.37286,10.443019,9.710139,9.783655,10.036131,9.154919,10.36317,8.556816,10.701622,7.9855404,11.058928,7.434198,11.438842,6.893709,11.840928,6.3538465,12.260339,5.804325,12.68788,5.2358685,13.1103945,4.641194,13.511423,4.0158286,13.872102,3.358717,14.172265,2.6725793,14.391663,1.9639744,14.511228,1.2430862,14.514339,0.52322537,14.387956,-0.17991325,14.123601,-0.8492057,13.718086,-1.4671808,13.173973,-2.017197,12.499711,-2.4846065,11.709426,-2.8578553,10.822416,-3.1294277,9.862322,-3.2965844,8.856052,-3.36184,7.832498,-3.333135,6.8211436,-3.223688,5.8505983,-3.051546,4.9471807,-2.838803,4.133601,-2.610586,3.427835,-2.3938196,2.8422656,-2.2158422,2.3830836,-2.1029718,2.0500674,-2.0790699,1.8366694,-2.1642172,1.7304668,-2.3735507,1.7139169,-2.7163496,1.7653773,-3.1954086,1.8603446,-3.8067567,1.9728273,-4.5397058,2.0767784,-5.377283,2.1475132,-6.2969728,2.1630182,-7.2717357,2.1050904,-8.27132,1.9602364,-9.263665,1.7202915,-10.216466,1.3827134,-11.098692,0.95054996,-11.882037,0.4320958,-12.542244,-0.15977271,-13.060157,-0.80847925,-13.422529,-1.4948663
9,-36,15.98198,2.9082336,16.109303,3.756382,16.06514,4.58787,15.861243,5.384395,15.514263,6.131021,15.044652,6.8168774,14.475403,7.4355917,13.830708,7.985401,13.134617,8.46898,12.409778,8.892963,11.676306,9.267222,10.950895,9.6039295,10.246161,9.916483,9.570284,10.218353,8.926961,10.521933,8.315657,10.837465,7.7321177,11.172112,7.169136,11.529242,6.6174793,11.907958,6.06694,12.30294,5.5074325,12.704555,4.9300327,13.099302,4.3279567,13.470509,3.6973145,13.799274,3.0376854,14.065592,2.3524263,14.249578,1.6486603,14.332745,0.9370355,14.299232,0.23115072,14.136927,-0.45320162,13.8383875,-1.0990361,13.401525,-1.6892713,12.83,-2.207889,12.13329,-2.6411097,11.326434,-2.9784334,10.429446,-3.2135656,9.466452,-3.34508,8.464568,-3.376843,7.4525957,-3.3181162,6.4596148,-3.183335,5.5135336,-2.9915922,4.639686,-2.7658026,3.8595674,-2.5316343,3.1897507,-2.3162408,2.641097,-2.1468558,2.2182283,-2.0493574,1.9193826,-2.0468502,1.7365774,-2.1583662,1.6561277,-2.3977547,1.6594641,-2.772829,1.7242054,-3.2848058,1.8254284,-3.9281027,1.9370615,-4.690465,2.0333185,-5.5534735,2.0900972,-6.4933524,2.0862563,-7.4820533,2.0047057,-8.488608,1.833247,-9.480562,1.5651201,-10.425552,1.1992264,-11.292824,0.7400223,-12.054655,0.19710474,-12.68764,-0.41551718,-13.173702,-1.0803549,-13.50083,-1.7775989
10,-36,16.221643,3.2882898,16.29663,4.145375,16.200012,4.9788713,15.944846,5.770901,15.548917,6.5071726,15.033592,7.1776323,14.4225445,7.7768335,13.7403755,8.303992,13.011305,8.762748,12.257904,9.160629,11.500017,9.508286,10.753898,9.818507,10.031613,10.105122,9.340744,10.381836,8.684384,10.661078,8.061453,10.952951,7.4672484,11.264326,6.894252,11.59817,6.3330874,11.953129,5.7735815,12.323406,5.2058473,12.69895,4.621329,13.0659275,4.0137234,13.407477,3.3797252,13.704684,2.7195315,13.937727,2.037097,14.087112,1.3400888,14.134952,0.6395618,14.066162,-0.05063227,13.869552,-0.71466565,13.538713,-1.3357443,13.072634,-1.8972173,12.476039,-2.383748,11.759393,-2.7824495,10.938585,-3.0839138,10.0342865,-3.2830706,9.071032,-3.3798108,8.076072,-3.3793342,7.0780363,-3.2921867,6.1055303,-3.1339715,5.185692,-2.9247665,4.3428187,-2.6882327,3.5971432,-2.4504945,2.9638064,-2.2388487,2.452139,-2.0803351,2.065201,-2.00031,1.7997181,-2.021038,1.6463132,-2.1604385,1.5900984,-2.4310188,1.6115495,-2.8390877,1.6876262,-3.384264,1.7930735,-4.059355,1.9018284,-4.8505545,1.9884514,-5.7380323,2.0295033,-6.696807,2.0047865,-7.697882,1.8983817,-8.709645,1.6994259,-9.699329,1.4025917,-10.634596,1.0082322,-11.485045,0.5222028,-12.22361,-0.044622663,-12.827814,-0.67714167,-13.280704,-1.3570051,-13.571546,-2.063812
